Taxon	Species	Genus	Family	Museum Number	Locality	Formation	Age		Lithology	Grain Size	Specimen Info. I eventually stopped recording this.	Publication. I also eventually stopped recording this.	Notes	Preservational State/Notes	More Notes	Strat Citation		Subperiod	*For questions or copies of photographs corresponding to specimens contact J. Thompson
Lepidechinus cooperi	cooperi	Lepidechinus	Lepidocentridae	USNM 136458 D	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
Lepidechinus cooperi	cooperi	Lepidechinus	Lepidocentridae	USNM 136458 E	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458f	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458g	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458h	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458i	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458j	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458k	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458l	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458m	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458n	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458o	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458p	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
Lepidechinus cooperi	cooperi	Lepidechinus	Lepidocentridae	USNM 136458q	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
Lepidechinus cooperi	cooperi	Lepidechinus	Lepidocentridae	USNM 136458r	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
Lepidechinus cooperi	cooperi	Lepidechinus	Lepidocentridae	USNM 136458s	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
Lepidechinus cooperi	cooperi	Lepidechinus	Lepidocentridae	USNM 136458t	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458u	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458v	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458w	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458x	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
Lepidesthes colletti	colletti	Lepidesthes	Lepidesthidae	USNM 136466	"Booneville, Missouri"	Warsaw Formation	Visean		?	?	Whole Test	"Kier,1958"				Brenckle et al. 2005		Mississippian	
Lepidesthes extremis	extremis	Lepidesthes	Lepidesthidae	USNM 157857	"New Lexington, Perry County Ohio"	"Putnam Hill Limestone, Allegheney Formation"	Moscovian		Siliciclastic	Fine Grained 	Partial Test	"Jackson, 1912"				"Montanez and Cecil, 2013"		Pennsylvanian	
Lepidesthes grandis	grandis	Lepidesthes	Lepidesthidae	USNM 136461	"Wash on Old Evans farn, 3/4 Mile south of Dennis, Hood co, Texas"	Millsap Lake Formation	Moscovian or Kasimovian		Carbonate	?	Partial Test	"Kier,1958"				Powell et al. 2009		Pennsylvanian	
Lepidesthes grandis	grandis	Lepidesthes	Lepidesthidae	USNM 136462	"Wash on Old Evans farn, 3/4 Mile south of Dennis, Hood co, Texas"	Millsap Lake Formation	Moscovian or Kasimovian		Carbonate	?	Partial Test	"Kier,1958"				Powell et al. 2009		Pennsylvanian	
Lepidesthes grandis	grandis	Lepidesthes	Lepidesthidae	USNM 136463	"Wash on Old Evans farn, 3/4 Mile south of Dennis, Hood co, Texas"	Millsap Lake Formation	Moscovian or Kasimovian		Carbonate	?	Partial Test	"Kier,1958"				Powell et al. 2009		Pennsylvanian	
Lepidesthes grandis	grandis	Lepidesthes	Lepidesthidae	USNM 136464	"Wash on Old Evans farn, 3/4 Mile south of Dennis, Hood co, Texas"	Millsap Lake Formation	Moscovian or Kasimovian		Carbonate	?	Partial Test	"Kier,1958"				Powell et al. 2009		Pennsylvanian	
